Date/Time	Velocidad a 100m [m/s]	StdAne1 [m/s]	Velocidad a 80 [m/s]	StdAne2 [m/s]	Veleta a 100 [°]	Veleta a 80 m [°]	temperatura 5 [°C]
2017-01-01 12:10	5,733	0,826	5,244	0,938	203,0	200,0	18,59
2017-01-01 12:20	6,372	0,682	5,893	0,714	197,0	194,0	18,72
2017-01-01 12:30	5,955	0,778	5,486	0,870	198,0	198,0	18,59
2017-01-01 12:40	6,075	0,715	5,944	0,725	186,0	181,0	18,72
2017-01-01 12:50	6,557	0,676	6,175	0,934	204,0	204,0	18,47
2017-01-01 13:00	6,138	0,931	5,366	0,917	198,0	201,0	18,84
2017-01-01 13:10	6,584	0,821	6,344	0,913	195,0	193,0	18,47
2017-01-01 13:20	7,198	1,067	6,603	1,073	194,0	190,0	18,59
2017-01-01 13:30	6,690	0,797	6,178	0,857	197,0	190,0	18,47
2017-01-01 13:40	6,768	0,876	6,246	1,097	200,0	198,0	18,72
2017-01-01 13:50	7,359	0,821	6,688	0,975	194,0	193,0	18,59
2017-01-01 14:00	8,044	0,571	7,698	0,776	204,0	204,0	18,47
2017-01-01 14:10	7,989	0,762	7,169	1,076	201,0	200,0	18,35
2017-01-01 14:20	7,666	0,787	7,122	0,805	198,0	194,0	18,59
2017-01-01 14:30	7,307	0,802	7,054	0,874	201,0	200,0	18,35
2017-01-01 14:40	7,649	0,710	7,274	0,983	208,0	208,0	18,35
2017-01-01 14:50	7,625	0,758	7,141	0,917	205,0	200,0	18,35
2017-01-01 15:00	7,734	0,835	6,712	1,173	212,0	214,0	18,35
2017-01-01 15:10	7,878	0,577	7,505	0,761	211,0	210,0	18,11
2017-01-01 15:20	7,718	0,928	7,130	1,165	207,0	205,0	18,47
2017-01-01 15:30	8,495	0,629	8,081	0,781	204,0	204,0	18,23
2017-01-01 15:40	8,379	0,826	8,007	1,115	197,0	194,0	18,11
2017-01-01 15:50	8,691	0,670	8,425	0,838	194,0	190,0	18,11
2017-01-01 16:00	9,317	0,721	8,865	0,909	194,0	190,0	18,11
2017-01-01 16:10	8,936	0,623	8,517	0,608	195,0	193,0	17,98
2017-01-01 16:20	8,732	0,758	8,227	0,725	195,0	194,0	17,98
2017-01-01 16:30	8,708	0,498	8,175	0,725	193,0	190,0	17,86
2017-01-01 16:40	8,379	0,653	7,833	0,833	194,0	193,0	17,86
